"Timestamp","Air temp","Wine Temp"
"2019/04/13 10:43:36 AM GMT+2","21.4","7.4"
"2019/04/13 10:44:36 AM GMT+2","21.8","7.0"
"2019/04/13 10:48:55 AM GMT+2","21.9","7.3"
"2019/04/13 10:53:30 AM GMT+2","21.8","8"
"2019/04/13 10:57:39 AM GMT+2","22.1","8.2"
"2019/04/13 11:01:43 AM GMT+2","22.1","8.5"
"2019/04/13 11:05:44 AM GMT+2","22.1","8.9"
"2019/04/13 11:09:58 AM GMT+2","22.1","9.2"
"2019/04/13 11:13:47 AM GMT+2","22.0","9.5"
"2019/04/13 11:17:53 AM GMT+2","22.0","9.9"
"2019/04/13 11:22:03 AM GMT+2","22.0","10.2"
"2019/04/13 11:26:02 AM GMT+2","22.2","10.5"
"2019/04/13 11:30:17 AM GMT+2","22.1","10.9"
"2019/04/13 11:34:13 AM GMT+2","22.2","11.4"
"2019/04/13 11:38:11 AM GMT+2","22","11.6"
"2019/04/13 11:42:11 AM GMT+2","22","12"
"2019/04/13 11:46:17 AM GMT+2","22","12.3"
"2019/04/13 11:50:29 AM GMT+2","22.1","12.6"
"2019/04/13 11:54:48 AM GMT+2","22.3","12.9"
"2019/04/13 11:59:11 AM GMT+2","22.3","13.1"
"2019/04/13 12:03:00 PM GMT+2","22.5","13.4"
"2019/04/13 12:06:55 PM GMT+2","22.5","13.7"
"2019/04/13 12:11:44 PM GMT+2","22.5","13.8"
"2019/04/13 12:15:40 PM GMT+2","22.5","14.2"
"2019/04/13 12:19:42 PM GMT+2","22.5","14.4"
"2019/04/13 12:23:45 PM GMT+2","22.5","14.6"
"2019/04/13 12:28:13 PM GMT+2","22.6","14.9"
"2019/04/13 12:32:08 PM GMT+2","22.5","15.1"
"2019/04/13 12:36:39 PM GMT+2","22.7","15.6"
"2019/04/13 12:40:39 PM GMT+2","22.6","15.7"
"2019/04/13 12:44:34 PM GMT+2","22.5","15.9"
"2019/04/13 12:48:52 PM GMT+2","22.4","16.0"
"2019/04/13 12:53:07 PM GMT+2","22.3","16.0"
"2019/04/13 12:57:03 PM GMT+2","22.4","16.3"
"2019/04/13 1:01:22 PM GMT+2","22.4","16.6"
"2019/04/13 1:05:25 PM GMT+2","22.3","16.6"
"2019/04/13 1:09:50 PM GMT+2","22.4","16.9"
"2019/04/13 1:14:01 PM GMT+2","22.3","16.9"
"2019/04/13 1:18:09 PM GMT+2","22.2","17.0"
"2019/04/13 1:22:25 PM GMT+2","22.1","17.2"
"2019/04/13 1:26:29 PM GMT+2","22.3","17.4"
"2019/04/13 1:30:38 PM GMT+2","22.3","17.6"
"2019/04/13 1:39:29 PM GMT+2","22.2","17.9"
"2019/04/13 1:45:47 PM GMT+2","22.3","18.0"
